CustomerID,Age,Gender,Country,SubscriptionType,TenureMonths,MonthlySpend,NumLoginsPerWeek,SupportTickets,FeatureUsageRate,HasDiscount,AutoRenew,LastLoginDaysAgo,Churn
1,46,Female,India,Basic,5,23.5,12,2,0.31,No,Yes,5,No
2,38,Female,Canada,Enterprise,60,208.81,21,2,0.5,No,Yes,42,No
3,18,Female,UK,Standard,23,67.21,12,2,0.54,No,Yes,45,No
4,51,Male,USA,Standard,2,78.26,15,1,0.91,No,No,1,No
5,61,Female,India,Basic,7,20.29,3,1,0.92,Yes,No,3,No
6,49,Female,USA,Basic,1,23.05,10,4,0.41,No,Yes,37,No
7,62,Male,India,Basic,8,25.88,9,3,0.52,Yes,No,14,Yes
8,31,Female,Germany,Premium,60,157.54,23,4,0.48,No,Yes,18,No
9,54,Male,Germany,Standard,42,52.11,5,1,0.14,No,Yes,6,No
10,52,Male,USA,Standard,20,54.85,14,0,0.37,No,Yes,4,No
11,41,Male,Canada,Basic,3,30.01,17,0,0.57,No,No,8,Yes
12,18,Female,Canada,Enterprise,6,237.97,32,3,0.85,No,No,6,Yes
13,63,Male,India,Premium,23,147.34,18,1,0.51,No,Yes,43,No
14,23,Female,Australia,Basic,2,31.67,8,1,0.55,No,Yes,2,No
15,21,Male,Germany,Basic,9,28.22,7,1,0.61,No,Yes,71,No
16,55,Male,Germany,Basic,4,27.98,18,1,0.43,No,Yes,35,No
17,18,Male,USA,Basic,2,17.12,5,1,0.38,Yes,Yes,12,No
18,58,Female,Australia,Standard,9,76.33,16,1,0.51,No,Yes,6,No
19,48,Male,USA,Basic,5,23.68,9,1,0.81,No,Yes,19,No
20,53,Male,Canada,Basic,27,38.07,1,6,0.75,No,Yes,9,No
21,26,Male,Canada,Standard,11,51.47,19,2,0.63,Yes,Yes,7,Yes
22,58,Male,Australia,Basic,6,23.41,4,1,0.73,No,No,6,No
23,62,Male,Australia,Basic,25,33.52,8,2,0.56,No,Yes,1,Yes
24,40,Male,Canada,Basic,6,17.14,6,2,0.25,No,Yes,8,No
25,48,Male,UK,Standard,57,59.46,25,3,0.46,Yes,Yes,4,No
26,46,Female,Germany,Premium,15,134.33,20,2,0.82,No,Yes,0,No
27,38,Male,Germany,Basic,1,27.62,5,0,0.77,No,Yes,3,No
28,20,Female,USA,Standard,23,52.48,10,2,0.98,No,No,4,No
29,43,Male,Germany,Standard,13,60.5,19,1,0.52,No,Yes,5,No
30,23,Male,USA,Basic,5,16.0,7,2,0.86,Yes,No,43,Yes
31,37,Female,Australia,Standard,9,63.3,22,0,0.5,No,No,34,Yes
32,64,Female,Australia,Basic,3,17.67,15,1,0.63,No,Yes,0,No
33,63,Female,UK,Basic,4,39.16,8,0,0.5,No,No,4,Yes
34,30,Male,Australia,Premium,60,169.21,16,0,0.88,No,Yes,8,No
35,58,Female,Canada,Enterprise,33,263.08,13,2,0.63,No,Yes,4,Yes
36,40,Female,UK,Premium,14,138.56,23,4,0.73,Yes,No,7,No
37,32,Female,Canada,Basic,14,38.12,4,1,0.32,Yes,No,26,No
38,63,Female,Canada,Basic,1,27.14,3,1,0.72,No,Yes,12,Yes
39,48,Male,USA,Standard,39,59.99,18,1,0.6,No,Yes,8,Yes
40,21,Male,Canada,Basic,4,36.3,16,1,0.73,No,No,9,No
41,28,Female,UK,Basic,8,15.4,4,0,0.47,Yes,Yes,4,No
42,19,Male,India,Standard,53,65.08,14,0,0.28,No,Yes,3,No
43,33,Female,Australia,Basic,9,38.31,8,1,0.47,No,Yes,3,Yes
44,48,Male,USA,Premium,20,110.09,14,1,0.19,No,Yes,24,No
45,56,Female,Australia,Basic,8,37.0,5,0,0.4,No,Yes,3,Yes
46,60,Male,Canada,Standard,16,85.97,21,0,0.47,No,No,36,No
47,61,Male,Canada,Basic,9,20.04,6,1,0.61,No,Yes,8,No
48,21,Female,Germany,Standard,38,80.42,10,2,0.1,Yes,Yes,11,No
49,45,Male,USA,Standard,18,80.26,9,2,0.57,No,No,14,No
50,33,Male,USA,Basic,6,20.64,5,1,0.23,No,Yes,5,No
51,56,Male,UK,Enterprise,34,246.86,21,0,0.71,No,Yes,33,No
52,42,Female,India,Premium,3,178.77,16,3,0.81,No,Yes,14,Yes
53,30,Female,UK,Premium,5,161.52,16,2,0.7,No,No,34,No
54,22,Female,UK,Premium,13,145.23,15,3,0.5,No,Yes,10,Yes
55,47,Female,UK,Standard,1,82.67,13,1,0.5,Yes,Yes,0,No
56,18,Male,India,Premium,51,106.94,14,0,0.86,No,No,0,No
57,22,Male,UK,Basic,7,35.74,7,1,0.88,No,No,5,No
58,31,Male,Australia,Basic,1,38.38,11,0,0.94,No,Yes,28,Yes
59,28,Female,USA,Basic,13,24.09,8,2,0.38,No,Yes,4,No
60,51,Female,India,Basic,27,21.89,9,0,0.83,Yes,Yes,9,No
61,46,Male,Canada,Basic,4,38.24,12,1,0.59,No,No,3,No
62,35,Male,Germany,Basic,2,34.95,11,3,0.75,No,Yes,20,No
63,32,Male,Germany,Premium,32,122.62,17,2,0.51,Yes,Yes,16,No
64,63,Male,Australia,Basic,3,39.57,5,1,0.51,No,No,34,No
65,42,Male,USA,Basic,10,25.86,12,0,0.32,No,No,6,Yes
66,47,Male,Germany,Standard,32,57.23,11,2,0.88,No,Yes,62,No
67,62,Male,Australia,Basic,29,33.9,5,0,0.61,No,No,31,No
68,19,Female,Australia,Premium,12,148.66,11,3,0.85,No,Yes,8,No
69,57,Male,Germany,Basic,5,16.46,4,1,0.53,Yes,Yes,29,No
70,44,Female,Germany,Enterprise,12,247.43,27,3,0.59,No,Yes,8,Yes
71,32,Male,Australia,Premium,4,104.59,11,1,0.45,No,No,23,Yes
72,49,Female,Australia,Basic,8,37.11,1,1,0.52,No,Yes,6,No
73,37,Male,Canada,Basic,1,25.48,14,0,0.73,No,Yes,4,No
74,31,Female,Germany,Premium,28,132.86,24,0,0.76,No,No,20,No
75,44,Male,UK,Standard,11,64.73,12,0,0.2,Yes,No,50,No
76,20,Male,Australia,Standard,60,66.83,14,0,0.92,No,Yes,19,No
77,20,Female,USA,Premium,16,146.57,19,0,0.65,No,Yes,56,No
78,30,Female,USA,Basic,15,36.61,9,1,0.63,No,Yes,37,No
79,42,Male,Australia,Basic,6,39.17,0,1,0.27,Yes,Yes,8,Yes
80,35,Male,USA,Basic,11,17.08,5,2,0.84,No,Yes,10,No
81,18,Male,Canada,Premium,47,143.98,13,0,0.34,Yes,No,3,Yes
82,56,Female,Canada,Standard,8,85.11,13,0,0.44,No,Yes,8,No
83,22,Female,Australia,Basic,2,16.37,8,2,0.73,Yes,Yes,21,Yes
84,19,Male,Germany,Basic,35,27.82,13,1,0.68,Yes,Yes,11,No
85,47,Male,UK,Basic,3,22.62,12,2,0.8,No,Yes,54,No
86,34,Male,Germany,Basic,2,18.23,7,0,0.56,Yes,Yes,1,No
87,46,Male,USA,Standard,5,59.1,13,0,0.69,No,Yes,10,No
88,59,Female,UK,Standard,2,63.31,21,1,0.26,Yes,No,11,No
89,21,Female,USA,Premium,60,171.29,10,0,0.55,No,Yes,2,Yes
90,26,Female,UK,Standard,9,78.39,13,1,0.66,No,No,23,No
91,38,Male,Australia,Basic,41,19.61,4,1,0.25,No,Yes,25,Yes
92,60,Female,India,Standard,1,50.87,18,2,0.48,No,Yes,34,Yes
93,29,Male,Canada,Premium,35,148.47,17,3,0.85,No,Yes,41,No
94,29,Female,Canada,Standard,8,51.08,8,2,0.66,No,Yes,20,Yes
95,21,Female,Australia,Premium,36,142.84,17,1,0.88,No,Yes,27,No
96,45,Female,USA,Standard,10,65.57,18,1,0.54,No,Yes,1,No
97,26,Male,USA,Standard,34,74.6,12,1,0.31,No,Yes,7,No
98,57,Male,India,Basic,26,39.05,10,3,0.75,Yes,No,5,No
99,49,Female,Germany,Basic,7,38.97,1,7,0.28,Yes,No,23,No
100,30,Male,UK,Basic,1,29.5,6,3,0.67,No,Yes,5,No
101,51,Female,Australia,Basic,3,39.97,5,1,0.45,No,Yes,10,No
102,36,Male,India,Standard,1,73.14,6,1,0.75,No,No,8,No
103,31,Male,Australia,Basic,1,27.76,7,2,0.49,No,No,21,No
104,22,Male,India,Standard,4,62.66,8,1,0.38,Yes,Yes,12,No
105,44,Male,USA,Premium,2,145.67,17,3,0.39,No,No,7,No
106,45,Female,USA,Basic,24,15.15,9,1,0.4,No,Yes,2,No
107,43,Female,Germany,Basic,16,21.44,6,2,0.94,No,Yes,2,No
108,27,Female,Australia,Premium,14,155.43,18,2,0.88,No,Yes,19,No
109,41,Male,Australia,Basic,13,25.14,15,2,0.51,Yes,Yes,0,No
110,34,Male,Germany,Basic,1,39.44,17,0,0.47,No,Yes,8,No
111,33,Female,USA,Basic,19,20.68,18,1,0.92,No,Yes,19,No
112,34,Male,Canada,Basic,7,32.37,7,3,0.58,Yes,No,6,No
113,18,Female,Germany,Premium,17,113.64,25,2,0.51,No,No,15,No
114,38,Male,India,Premium,11,127.76,14,1,0.48,Yes,No,21,No
115,64,Female,USA,Standard,9,81.76,13,1,0.65,Yes,Yes,31,No
116,60,Female,Australia,Premium,20,127.37,27,1,0.68,Yes,Yes,3,Yes
117,39,Male,Australia,Premium,39,140.36,13,1,0.7,No,Yes,18,No
118,22,Female,UK,Basic,3,15.23,5,2,0.89,No,Yes,12,No
119,53,Female,UK,Premium,25,177.36,0,1,0.61,No,Yes,9,Yes
120,38,Female,Canada,Standard,13,84.54,16,3,0.89,Yes,No,8,No
121,26,Male,Australia,Premium,3,146.65,24,3,0.44,No,Yes,30,No
122,44,Male,USA,Premium,30,129.76,19,3,0.71,Yes,No,2,No
123,29,Female,Australia,Basic,1,36.68,0,0,0.42,No,Yes,22,No
124,35,Female,Australia,Basic,2,39.17,4,2,0.74,No,Yes,1,Yes
125,52,Female,India,Basic,31,37.39,4,3,0.57,No,Yes,11,No
126,32,Female,Canada,Basic,33,26.09,3,1,0.67,No,Yes,2,No
127,61,Male,India,Premium,9,121.88,29,0,0.26,Yes,Yes,9,Yes
128,47,Other,UK,Premium,32,104.13,19,0,0.52,No,No,9,No
129,62,Male,India,Basic,1,22.89,1,2,0.52,No,Yes,19,Yes
130,50,Female,UK,Standard,10,62.83,7,0,0.94,No,Yes,3,No
131,53,Male,Germany,Basic,2,29.41,2,1,0.46,Yes,Yes,5,No
132,57,Male,UK,Basic,40,21.04,0,0,0.77,Yes,Yes,10,Yes
133,47,Male,Australia,Basic,11,17.21,11,1,0.83,No,Yes,21,No
134,43,Female,UK,Basic,11,16.6,14,2,0.45,Yes,Yes,11,No
135,38,Female,Australia,Premium,21,167.33,13,2,0.09,No,No,23,No
136,54,Female,Canada,Basic,1,36.1,10,2,0.5,Yes,Yes,15,No
137,60,Male,Australia,Standard,9,88.13,11,5,0.74,No,Yes,37,No
138,48,Male,Australia,Standard,1,57.96,12,1,0.55,No,Yes,16,No
139,34,Female,Australia,Basic,4,18.14,11,1,0.64,No,Yes,6,Yes
140,34,Male,Canada,Enterprise,12,223.88,39,1,0.72,No,Yes,1,Yes
141,51,Female,USA,Enterprise,8,221.75,35,0,0.67,No,Yes,18,No
142,41,Female,USA,Basic,4,24.77,5,0,0.93,Yes,No,60,No
143,50,Male,UK,Standard,59,70.24,8,1,0.88,No,Yes,10,No
144,21,Female,Germany,Basic,15,36.46,4,1,0.6,No,Yes,2,No
145,26,Female,USA,Basic,18,22.82,13,3,0.74,Yes,Yes,5,No
146,19,Female,UK,Basic,1,32.54,3,0,0.17,No,Yes,7,No
147,52,Female,Canada,Standard,1,77.74,5,2,0.73,No,Yes,2,Yes
148,55,Female,USA,Standard,23,62.16,9,1,0.63,Yes,Yes,6,Yes
149,62,Female,USA,Basic,16,33.18,6,2,0.49,Yes,Yes,24,Yes
150,32,Male,Australia,Basic,11,39.68,0,2,0.95,No,No,5,No
151,60,Male,Australia,Premium,6,173.21,24,1,0.12,No,Yes,90,No
152,59,Male,UK,Basic,1,33.79,14,2,0.73,No,Yes,5,No
153,20,Male,Australia,Basic,8,23.34,7,1,0.65,No,No,1,No
154,48,Male,UK,Standard,13,85.56,5,0,0.97,Yes,Yes,23,Yes
155,58,Female,India,Enterprise,30,205.12,24,3,0.41,No,Yes,1,No
156,59,Female,India,Basic,2,27.3,17,4,0.97,Yes,No,0,No
157,40,Male,Germany,Standard,5,62.91,14,3,0.49,Yes,No,7,No
158,29,Male,USA,Premium,7,137.12,9,5,0.87,No,Yes,34,No
159,25,Male,India,Basic,1,34.4,5,1,0.39,No,Yes,12,No
160,38,Male,UK,Standard,26,80.71,15,1,0.33,Yes,Yes,37,No
161,38,Male,Australia,Basic,1,29.43,12,0,0.47,Yes,Yes,31,No
162,49,Female,Australia,Standard,16,68.33,16,1,0.59,Yes,Yes,1,Yes
163,34,Female,USA,Standard,12,53.26,14,3,0.48,Yes,Yes,0,Yes
164,54,Female,India,Standard,9,61.71,12,0,0.24,No,No,5,No
165,41,Male,Germany,Basic,7,34.88,9,1,0.87,Yes,No,32,No
166,25,Male,Germany,Premium,4,108.35,13,5,0.48,No,Yes,10,Yes
167,35,Male,Germany,Basic,1,26.68,8,1,0.55,No,No,47,No
